watch out for low flying objects
Basic
0.6 0.6
432 326.4
Began 1065.014 241 451 -0.275463 0.2542892
Stationary 1065.067 241 451 -0.275463 0.2542892
Stationary 1065.114 241 451 -0.275463 0.2542892
Stationary 1065.159 241 451 -0.275463 0.2542892
Stationary 1065.216 241 451 -0.275463 0.2542892
Stationary 1065.265 241 451 -0.275463 0.2542892
Stationary 1065.308 241 451 -0.275463 0.2542892
Stationary 1065.351 241 451 -0.275463 0.2542892
Stationary 1065.395 241 451 -0.275463 0.2542892
Stationary 1065.438 241 451 -0.275463 0.2542892
Stationary 1065.487 241 451 -0.275463 0.2542892
Moved 1065.532 221.9426 433.954 -0.3195774 0.2020651
Moved 1065.576 201.9599 413.96 -0.3658335 0.1408087
Moved 1065.637 181.5077 391.7615 -0.4131766 0.07279887
Moved 1065.687 174.5814 384.5814 -0.4292096 0.05080092
Moved 1065.738 172 380.988 -0.4351852 0.03979187
Moved 1065.785 171 381 -0.4375 0.03982843
Moved 1065.835 189.7088 394.7198 -0.3941925 0.0818621
Moved 1065.884 291.7635 454.871 -0.1579549 0.2661489
Moved 1065.934 313.8021 465.9505 -0.1069397 0.3000935
Moved 1065.991 327.3785 473.6893 -0.07551263 0.3238029
Moved 1066.039 329.0865 474 -0.07155906 0.324755
Moved 1066.085 330 474 -0.06944443 0.324755
Moved 1066.158 304.7094 407.037 -0.1279875 0.1195989
Moved 1066.204 288.6064 349.729 -0.1652629 -0.05597732
Moved 1066.25 283.3329 314.6631 -0.1774701 -0.1634094
Moved 1066.297 280.0272 295.0817 -0.1851222 -0.2234018
Moved 1066.342 280 286.449 -0.1851852 -0.24985
Moved 1066.387 280 283.8945 -0.1851852 -0.2576763
Moved 1066.434 280 281.96 -0.1851852 -0.2636028
Moved 1066.481 280 281 -0.1851852 -0.2665441
Moved 1066.526 307.7828 295.9857 -0.120873 -0.220632
Moved 1066.572 334.4699 315.0437 -0.05909741 -0.1622435
Moved 1066.646 373.7035 349.7034 0.031721 -0.05605558
Moved 1066.692 388.7784 360.8523 0.06661673 -0.02189861
Moved 1066.737 403.8607 371.4304 0.1015295 0.01050968
Moved 1066.784 414 377.5 0.125 0.02910539
Moved 1066.836 418.9273 381 0.1364058 0.03982843
Moved 1066.88 420.7977 382 0.1407354 0.04289216
Moved 1066.925 422 383.7316 0.1435185 0.0481973
Moved 1066.98 423.2991 384 0.1465256 0.04901971
Ended 1067.028 424.5 384 0.1493056 0.04901971
Began 1067.263 531 471 0.3958333 0.3155637
Stationary 1067.309 531 471 0.3958333 0.3155637
Stationary 1067.355 531 471 0.3958333 0.3155637
Moved 1067.402 523.1431 471 0.377646 0.3155637
Moved 1067.451 492.161 479.6049 0.3059282 0.3419268
Moved 1067.498 461.1553 486.6056 0.2341558 0.3633751
Moved 1067.544 435.4185 489 0.1745797 0.3707108
Moved 1067.591 416.3364 489 0.1304084 0.3707108
Moved 1067.64 400.2844 489 0.09325096 0.3707108
Moved 1067.685 393.0291 489 0.07645626 0.3707108
Moved 1067.739 389.5812 489 0.0684749 0.3707108
Moved 1067.786 386.5 489 0.06134262 0.3707108
Moved 1067.837 380.7307 489 0.0479878 0.3707108
Moved 1067.885 366.7059 489 0.01552294 0.3707108
Moved 1067.933 354.1331 480.711 -0.01358087 0.3453155
Moved 1067.982 347.3045 481 -0.02938772 0.3462009
Moved 1068.031 343.9995 481 -0.03703808 0.3462009
Moved 1068.08 341.6266 481 -0.04253104 0.3462009
Moved 1068.131 339.7538 481 -0.04686609 0.3462009
Moved 1068.177 338.9183 481 -0.04880021 0.3462009
Moved 1068.253 337.8555 481 -0.05126049 0.3462009
Moved 1068.301 336.9483 481 -0.05336036 0.3462009
Stationary 1068.353 336.9483 481 -0.05336036 0.3462009
Stationary 1068.402 337 481 -0.05324075 0.3462009
Stationary 1068.453 337 481 -0.05324075 0.3462009
Ended 1068.498 337 481 -0.05324075 0.3462009
Began 1068.701 314 364 -0.1064815 -0.01225481
Stationary 1068.756 314 364 -0.1064815 -0.01225481
Stationary 1068.802 314 364 -0.1064815 -0.01225481
Stationary 1068.849 314 364 -0.1064815 -0.01225481
Moved 1068.896 332.993 370.3887 -0.06251633 0.007318422
Moved 1068.957 358.9977 386.5986 -0.002320111 0.05698111
Moved 1069.004 388.5138 409.0118 0.06600419 0.1256491
Moved 1069.051 421.3218 433.4575 0.1419487 0.2005437
Moved 1069.098 451.1703 454.9545 0.2110424 0.2664046
Moved 1069.145 476.6709 468.3354 0.2700714 0.3074003
Moved 1069.193 499.0609 480.0305 0.3219003 0.3432305
Moved 1069.241 515.9441 488.6294 0.3609818 0.3695753
Moved 1069.288 520.2642 490 0.370982 0.3737745
Moved 1069.335 521 491.5 0.3726852 0.3783702
Moved 1069.381 521 493.5731 0.3726852 0.3847216
Moved 1069.455 488.3186 498.7424 0.2970339 0.4005587
Moved 1069.502 441.342 503.7105 0.1882917 0.4157798
Moved 1069.549 393.8084 509 0.07826011 0.4319853
Moved 1069.596 363.3131 510.9652 0.00766933 0.4380061
Moved 1069.644 337.4548 514 -0.05218804 0.447304
Moved 1069.692 319.3077 514 -0.09419521 0.447304
Moved 1069.738 308.3848 514 -0.1194797 0.447304
Moved 1069.785 298.3135 514 -0.1427929 0.447304
Moved 1069.834 292.7715 514 -0.1556216 0.447304
Moved 1069.88 289.5 514 -0.1631944 0.447304
Moved 1069.95 288.8666 514 -0.1646606 0.447304
Moved 1070 286.91 514 -0.1691898 0.447304
Stationary 1070.049 287 514 -0.1689815 0.447304
Moved 1070.099 286 514 -0.1712963 0.447304
Stationary 1070.154 286 514 -0.1712963 0.447304
Stationary 1070.212 286 514 -0.1712963 0.447304
Stationary 1070.262 286 514 -0.1712963 0.447304
Stationary 1070.31 286 514 -0.1712963 0.447304
Stationary 1070.358 286 514 -0.1712963 0.447304
Ended 1070.408 286 514 -0.1712963 0.447304
Began 1070.661 572 291 0.4907407 -0.2359069
Stationary 1070.72 572 291 0.4907407 -0.2359069
Stationary 1070.767 572 291 0.4907407 -0.2359069
Stationary 1070.816 572 291 0.4907407 -0.2359069
