the five boxing wizards jump quickly
Basic
0.8 0.8
575.9999 435.2
Began 675.3403 326 489 -0.05902778 0.2780331
Stationary 675.3825 326 489 -0.05902778 0.2780331
Stationary 675.4144 326 489 -0.05902778 0.2780331
Stationary 675.4466 326 489 -0.05902778 0.2780331
Stationary 675.4777 326 489 -0.05902778 0.2780331
Stationary 675.5083 326 489 -0.05902778 0.2780331
Stationary 675.5381 326 489 -0.05902778 0.2780331
Stationary 675.5673 326 489 -0.05902778 0.2780331
Stationary 675.5975 326 489 -0.05902778 0.2780331
Stationary 675.6276 326 489 -0.05902778 0.2780331
Stationary 675.6584 326 489 -0.05902778 0.2780331
Stationary 675.6956 326 489 -0.05902778 0.2780331
Stationary 675.7269 326 489 -0.05902778 0.2780331
Moved 675.7558 347.9744 489 -0.02087783 0.2780331
Moved 675.7879 378.5538 460.957 0.03221147 0.213596
Moved 675.8212 403.5 442.5 0.0755208 0.1711857
Moved 675.853 416.1176 428.4589 0.09742641 0.138922
Moved 675.8845 428.2551 412.4312 0.1184984 0.1020936
Moved 675.9179 435.535 402.775 0.1311372 0.07990571
Moved 675.9512 440.1493 395.8508 0.139148 0.06399534
Moved 675.9852 442 392.9821 0.1423611 0.05740363
Moved 676.037 445.9461 388.1077 0.149212 0.04620342
Moved 676.0702 446.8255 385.1745 0.1507387 0.03946347
Moved 676.102 447 383.3055 0.1510417 0.03516906
Moved 676.1362 447 378.6711 0.1510417 0.02452016
Moved 676.1702 437.3638 375.4546 0.1343122 0.01712918
Moved 676.2043 422.2083 375 0.1080006 0.01608456
Moved 676.2402 395.5218 384.4782 0.0616698 0.03786357
Moved 676.2744 348.8812 413.4125 -0.01930352 0.1043487
Moved 676.3077 322.2235 434.6656 -0.06558418 0.1531838
Moved 676.3411 304.4669 452.5331 -0.09641168 0.1942398
Moved 676.393 282.0591 475.926 -0.135314 0.2479918
Moved 676.424 273.2908 486.5638 -0.1505368 0.2724352
Moved 676.4547 268 492 -0.1597222 0.2849265
Moved 676.4861 264.4615 497.5385 -0.1658655 0.297653
Moved 676.5175 263 500.1365 -0.1684028 0.3036225
Moved 676.5493 261 502.01 -0.171875 0.3079274
Moved 676.5823 260 504 -0.1736111 0.3125001
Moved 676.6154 259 505.8229 -0.1753472 0.3166888
Moved 676.6456 259 506.5 -0.1753472 0.3182446
Moved 676.678 257.9535 506 -0.1771641 0.3170956
Moved 676.7285 256.8799 507 -0.179028 0.3193934
Moved 676.7631 253.573 507 -0.1847692 0.3193934
Ended 676.7949 249 507 -0.1927084 0.3193934
Began 677.1407 344 336 -0.02777778 -0.07352942
Stationary 677.1828 344 336 -0.02777778 -0.07352942
Stationary 677.2144 344 336 -0.02777778 -0.07352942
Stationary 677.2469 344 336 -0.02777778 -0.07352942
Stationary 677.2774 344 336 -0.02777778 -0.07352942
Stationary 677.308 344 336 -0.02777778 -0.07352942
Stationary 677.338 344 336 -0.02777778 -0.07352942
Moved 677.3689 354.1915 336 -0.01008425 -0.07352942
Moved 677.4039 357.2551 346.2551 -0.004765466 -0.04996539
Moved 677.438 360.0085 350.0084 1.467764E-05 -0.04134094
Moved 677.4702 363.765 355.765 0.006536395 -0.02811355
Moved 677.5018 366.3486 363.046 0.01102194 -0.0113833
Moved 677.5357 390.8693 393.8693 0.05359255 0.05944221
Moved 677.5703 428.8633 427.7553 0.1195543 0.1373054
Moved 677.6055 470.8495 458.233 0.192447 0.2073368
Moved 677.639 501.7233 478.8239 0.2460474 0.2546506
Moved 677.6907 533 498.5 0.3003472 0.2998621
Moved 677.7249 536.2344 502.2344 0.3059626 0.3084431
Moved 677.7567 538.105 505.105 0.30921 0.3150391
Stationary 677.7933 538.105 505.105 0.30921 0.3150391
Stationary 677.8262 538 505 0.3090279 0.3147978
Moved 677.8576 480.6295 439.9063 0.2094261 0.1652257
Moved 677.9047 409.3888 351.6924 0.08574442 -0.03747141
Moved 677.9366 377.6291 307.3819 0.03060609 -0.1392879
Moved 677.9694 356.5674 279.8511 -0.005959421 -0.2025481
Moved 678.0001 338.7672 257.3206 -0.03686253 -0.2543184
Moved 678.0492 324.7947 241.1965 -0.06112032 -0.2913683
Moved 678.0806 321.5 236 -0.06684028 -0.3033088
Moved 678.1113 315.8671 230.8671 -0.07661969 -0.3151032
Moved 678.1432 313.2415 229 -0.08117802 -0.3193934
Moved 678.1763 311.5 228 -0.0842014 -0.3216912
Moved 678.2087 310.626 228 -0.08571868 -0.3216912
Moved 678.2423 303.5 263 -0.09809029 -0.2412684
Moved 678.2754 290.9406 344.1512 -0.1198949 -0.0547996
Moved 678.3051 284.6149 380.9253 -0.1308769 0.02969967
Moved 678.3366 281.0029 404.9857 -0.1371478 0.08498544
Moved 678.3885 274.0594 452.7028 -0.1492023 0.1946297
Moved 678.421 271 475.3924 -0.1545139 0.2467656
Moved 678.4519 269 495.7669 -0.1579861 0.2935821
Moved 678.4834 269 510.0814 -0.1579861 0.3264739
Moved 678.5189 269 523.5995 -0.1579861 0.3575357
Moved 678.55 269 527.9417 -0.1579861 0.3675131
Moved 678.5802 268 529.9832 -0.1597222 0.372204
Moved 678.6111 264.2972 533.8514 -0.1661506 0.3810924
Moved 678.6418 261.2734 537.7266 -0.1714003 0.3899967
Moved 678.6745 256.4032 541.5968 -0.1798556 0.3988898
Moved 678.7239 248.8618 547.5691 -0.1929482 0.4126128
Moved 678.7557 244.5516 551.8969 -0.2004313 0.4225572
Moved 678.7885 240.677 554.323 -0.207158 0.428132
Moved 678.8182 238 555.8401 -0.2118056 0.431618
Moved 678.8475 236.2841 556 -0.2147846 0.4319853
Stationary 678.8773 236 556 -0.2152778 0.4319853
Ended 678.9057 236 556 -0.2152778 0.4319853
Began 679.4013 356 233 -0.006944462 -0.3102022
Stationary 679.4408 356 233 -0.006944462 -0.3102022
Stationary 679.4695 356 233 -0.006944462 -0.3102022
Stationary 679.5026 356 233 -0.006944462 -0.3102022
Stationary 679.5341 356 233 -0.006944462 -0.3102022
Stationary 679.5669 356 233 -0.006944462 -0.3102022
Stationary 679.5993 356 233 -0.006944462 -0.3102022
Moved 679.6324 367.4839 244.4839 0.01299284 -0.2838146
Moved 679.6666 386.3227 265.8896 0.04569911 -0.2346287
Moved 679.6999 407.4497 296.771 0.08237801 -0.1636696
Moved 679.7333 438.0113 342.0156 0.1354363 -0.05970682
Moved 679.7674 455.2356 364.1082 0.1653396 -0.008942591
Moved 679.8101 474.2088 386.9529 0.1982792 0.04354993
Moved 679.842 499.7726 411.9772 0.2426609 0.1010505
Moved 679.8742 515.6021 426.0018 0.2701426 0.1332762
Moved 679.9052 527.9148 439.3934 0.2915187 0.1640474
Moved 679.9363 536.0359 451.7265 0.3056179 0.1923863
Moved 679.967 542.7302 462.4604 0.31724 0.2170506
Moved 679.9973 544.7406 471.9625 0.3207302 0.2388844
Moved 680.0275 545 477.23 0.3211805 0.2509881
Moved 680.0569 545 484.4743 0.3211805 0.267634
Moved 680.0867 532.6895 492.2484 0.2998082 0.2854971
Moved 680.1348 457.7295 477.5765 0.1696692 0.2517842
Moved 680.1637 336.3181 409.7961 -0.04111439 0.09603897
