my watch fell in the water
Basic
0.6 0.6
432 172.8
Began 827.0253 465 132 0.2430555 -0.6249998
Stationary 827.089 465 132 0.2430555 -0.6249998
Stationary 827.1436 465 132 0.2430555 -0.6249998
Stationary 827.2021 465 132 0.2430555 -0.6249998
Stationary 827.2611 465 132 0.2430555 -0.6249998
Stationary 827.3161 465 132 0.2430555 -0.6249998
Moved 827.3737 465 144.1696 0.2430555 -0.5545742
Moved 827.4335 451.3544 166.2913 0.2114684 -0.426555
Moved 827.492 440.532 182.2906 0.1864168 -0.333966
Moved 827.5518 424.3427 206.7622 0.1489413 -0.1923483
Moved 827.6057 407.1603 234.7329 0.1091673 -0.03048084
Moved 827.6643 390.6414 254.038 0.07092903 0.0812384
Moved 827.7188 380.1773 262.8227 0.0467067 0.1320758
Moved 827.7931 369.2268 272.7733 0.02135823 0.18966
Moved 827.848 364.8167 276.1833 0.01114984 0.209394
Moved 827.9053 362.7566 277 0.006380975 0.2141204
Moved 827.9584 361.5 278 0.003472269 0.2199074
Ended 828.0146 362 278 0.004629592 0.2199074
Began 828.2678 209 272 -0.349537 0.1851854
Stationary 828.3337 209 272 -0.349537 0.1851854
Stationary 828.3885 209 272 -0.349537 0.1851854
Stationary 828.4447 209 272 -0.349537 0.1851854
Moved 828.5114 185.4413 238.4413 -0.404071 -0.009020347
Moved 828.5649 171.6702 219.2269 -0.4359487 -0.1202145
Moved 828.6241 164.1454 212.1454 -0.4533671 -0.1611957
Moved 828.6818 159.5 207.5 -0.4641204 -0.1880787
Moved 828.7391 160 208 -0.462963 -0.1851852
Moved 828.8011 179.6028 226.202 -0.4175861 -0.07984939
Moved 828.8602 228.3751 252.15 -0.3046872 0.07031283
Moved 828.9158 290.4222 271.8555 -0.1610597 0.1843493
Moved 828.9738 330.1259 282.6503 -0.06915306 0.246819
Moved 829.03 347.3718 287.1239 -0.029232 0.2727078
Moved 829.1088 358.5 289 -0.003472219 0.283565
Moved 829.1641 359 289 -0.002314796 0.283565
Moved 829.2186 330.4571 229.9143 -0.06838629 -0.0583661
Moved 829.2726 315.9873 199.9746 -0.1018812 -0.2316286
Moved 829.327 311 181.2469 -0.113426 -0.3400059
Moved 829.3812 310 175.3857 -0.1157407 -0.3739251
Moved 829.4371 310 171.5192 -0.1157407 -0.3963012
Moved 829.4906 319.6139 171 -0.09348636 -0.3993057
Moved 829.5439 343.9835 183.6556 -0.03707533 -0.3260669
Moved 829.599 369.7732 196.3866 0.02262324 -0.2523922
Moved 829.6839 408.0688 214.6896 0.1112702 -0.1464724
Moved 829.741 418.1047 221.1047 0.1345017 -0.1093476
Moved 829.7986 422.4 223.4 0.1444444 -0.0960645
Ended 829.8558 423 223 0.1458333 -0.09837963
Began 830.1426 299 215 -0.1412037 -0.1446759
Stationary 830.2059 299 215 -0.1412037 -0.1446759
Stationary 830.261 299 215 -0.1412037 -0.1446759
Moved 830.3141 280.517 236.322 -0.1839884 -0.0212846
Moved 830.3687 257.1958 253.6825 -0.2379726 0.07918093
Moved 830.4255 235.553 268.447 -0.2880717 0.1646242
Moved 830.4827 218.6648 284.3352 -0.3271648 0.2565697
Moved 830.5407 213 292.8997 -0.3402778 0.3061327
Moved 830.5968 212 295.9402 -0.3425926 0.3237278
Moved 830.6579 221.3121 303.3121 -0.3210367 0.3663899
Moved 830.7164 311.2052 312 -0.112951 0.4166669
Moved 830.7775 402.0126 297.9192 0.09725142 0.3351807
Moved 830.8511 466.2982 279.1105 0.2460606 0.2263341
Moved 830.9081 516.5052 265.2842 0.3622805 0.1463208
Moved 830.9636 542.9224 259.6796 0.4234314 0.1138869
Moved 831.021 567.1647 253.9451 0.479548 0.08070081
Moved 831.0789 575.4177 253 0.4986522 0.07523149
Moved 831.1364 579.5 252 0.5081019 0.06944445
Moved 831.1896 580 252 0.5092593 0.06944445
Moved 831.243 581 251 0.511574 0.06365723
Ended 831.2946 581 251 0.511574 0.06365723
Began 831.5596 437 312 0.1782407 0.4166669
Stationary 831.6515 437 312 0.1782407 0.4166669
Stationary 831.7097 437 312 0.1782407 0.4166669
Moved 831.7639 440.7941 300.374 0.1870233 0.3493864
Moved 831.8207 446 281.2475 0.199074 0.2387006
Moved 831.8777 441.3015 241.6439 0.1881979 0.009513432
Moved 831.9333 436 225.2224 0.1759259 -0.08551845
Moved 831.9889 432.6761 213.6761 0.1682318 -0.1523369
Moved 832.0473 432 207.5 0.1666667 -0.1880787
Moved 832.1097 432 204.5327 0.1666667 -0.2052505
Ended 832.1737 432 203 0.1666667 -0.2141204
Began 832.4476 325 304 -0.08101851 0.3703706
Stationary 832.5107 325 304 -0.08101851 0.3703706
Stationary 832.5642 325 304 -0.08101851 0.3703706
Moved 832.6245 371.7115 269.7019 0.02711008 0.171886
Moved 832.6817 401.524 247.3571 0.09612024 0.04257573
Moved 832.7437 417.6265 235.3735 0.1333947 -0.02677352
Moved 832.8172 422 232 0.1435185 -0.0462963
Stationary 832.8756 422 232 0.1435185 -0.0462963
Moved 832.9305 394.3878 241.2449 0.07960151 0.007204304
Moved 832.986 361.9007 251.6997 0.004399717 0.06770682
Moved 833.0388 338.9994 261.6003 -0.04861261 0.1250015
Moved 833.0941 316.3943 271.5352 -0.1009391 0.1824957
Moved 833.1519 305.0371 277 -0.1272289 0.2141204
Moved 833.2252 297 282.5 -0.1458333 0.2459491
Moved 833.2812 291.905 286.095 -0.1576273 0.2667533
Moved 833.3364 288 288 -0.1666667 0.2777778
Moved 833.3883 283.2331 290.7669 -0.1777011 0.29379
Moved 833.4412 280.5 292 -0.1840278 0.3009261
Moved 833.5013 277.9534 294.0466 -0.1899226 0.3127693
Moved 833.5544 276 295 -0.1944444 0.318287
Moved 833.6236 273.5 296 -0.2002315 0.3240741
Moved 833.6824 272 296 -0.2037037 0.3240741
Moved 833.7369 270.2391 297 -0.2077799 0.3298613
Moved 833.8246 266.5 297 -0.2164352 0.3298613
Moved 833.8798 262.5 297 -0.2256944 0.3298613
Moved 833.9343 257.5 297 -0.2372685 0.3298613
Moved 833.9891 255.5 297 -0.2418981 0.3298613
