the facts get in the way
Basic
0.8 0.8
575.9999 435.2
Began 817.221 311 528 -0.08506946 0.3676471
Stationary 817.2667 311 528 -0.08506946 0.3676471
Stationary 817.3071 311 528 -0.08506946 0.3676471
Stationary 817.3464 311 528 -0.08506946 0.3676471
Stationary 817.3846 311 528 -0.08506946 0.3676471
Stationary 817.4218 311 528 -0.08506946 0.3676471
Stationary 817.4635 311 528 -0.08506946 0.3676471
Stationary 817.5013 311 528 -0.08506946 0.3676471
Moved 817.54 321.81 521.0507 -0.06630217 0.3516791
Moved 817.5793 339.5054 506.8077 -0.03558084 0.3189517
Moved 817.6215 367.7434 474.6326 0.01344346 0.2450199
Moved 817.6631 390 444.5 0.05208336 0.1757813
Moved 817.7026 406.7498 423.3336 0.0811629 0.1271451
Moved 817.7422 427.2636 400.7364 0.1167771 0.07522149
Moved 817.7996 435 388.8102 0.1302084 0.04781755
Moved 817.838 436 385.9474 0.1319444 0.04123937
Moved 817.8784 436 380.6365 0.1319444 0.02903616
Moved 817.919 419.7707 380 0.1037686 0.0275736
Moved 817.959 330.3935 427.0036 -0.05140014 0.1355781
Moved 818.0073 286.1484 456.5322 -0.1282146 0.2034288
Moved 818.0496 251.8758 484.1241 -0.1877156 0.2668294
Moved 818.0901 239.0584 495.9416 -0.2099681 0.2939835
Moved 818.1308 230.708 506.5841 -0.2244654 0.3184378
Moved 818.1714 228 510 -0.2291667 0.3262868
Moved 818.2363 226.0186 513 -0.2326066 0.3331802
Moved 818.2746 226 514.8562 -0.2326389 0.3374453
Moved 818.3147 226 515 -0.2326389 0.3377758
Moved 818.3533 226 516 -0.2326389 0.3400735
Stationary 818.3903 226 516 -0.2326389 0.3400735
Ended 818.4268 226 516 -0.2326389 0.3400735
Began 818.7413 355 343 -0.00868056 -0.05744486
Stationary 818.8027 355 343 -0.00868056 -0.05744486
Stationary 818.8408 355 343 -0.00868056 -0.05744486
Stationary 818.8782 355 343 -0.00868056 -0.05744486
Stationary 818.917 355 343 -0.00868056 -0.05744486
Moved 818.9565 340.5 343 -0.03385417 -0.05744486
Moved 818.9952 322.2879 343 -0.06547239 -0.05744486
Moved 819.0329 274.2833 354.9291 -0.1488137 -0.03003422
Moved 819.071 245.5 360 -0.1987847 -0.01838236
Moved 819.1089 207.7433 364.473 -0.2643345 -0.008104409
Moved 819.1472 188.5648 365 -0.2976306 -0.006893383
Moved 819.186 168.6554 365 -0.3321956 -0.006893383
Moved 819.226 151.9264 365 -0.3612389 -0.006893383
Moved 819.267 135.5 365 -0.3897569 -0.006893383
Moved 819.3082 126.037 358 -0.4061857 -0.02297794
Moved 819.3497 123.645 358 -0.4103385 -0.02297794
Moved 819.4078 123 354.5972 -0.4114583 -0.03079681
Moved 819.4459 160.2755 304.697 -0.3467439 -0.1454574
Moved 819.4824 192.8893 276.8885 -0.2901227 -0.2093554
Moved 819.52 226 255.5 -0.2326389 -0.2585019
Moved 819.5565 280.4232 225.0308 -0.1381541 -0.3285139
Moved 819.5928 299.6918 219.3846 -0.1047017 -0.3414875
Moved 819.6295 314.8498 217 -0.07838585 -0.3469669
Moved 819.6666 330.6638 217 -0.05093098 -0.3469669
Moved 819.7029 340.1952 217 -0.03438335 -0.3469669
Moved 819.7448 356.6985 256.7941 -0.005731732 -0.2555282
Moved 819.8031 372.0376 360.5634 0.02089858 -0.01708774
Moved 819.8394 377.8196 396.7372 0.03093682 0.06603217
Moved 819.8755 385.7564 452.6604 0.04471608 0.1945322
Moved 819.9122 387 472.4852 0.04687503 0.2400856
Moved 819.9493 387 480.2412 0.04687503 0.2579072
Moved 819.9855 387 486.5562 0.04687503 0.2724178
Moved 820.0212 387 488.4318 0.04687503 0.2767274
Moved 820.0571 387 489 0.04687503 0.2780331
Stationary 820.0929 387 489 0.04687503 0.2780331
Moved 820.1312 347.9611 452.9611 -0.02090093 0.195223
Moved 820.1921 290.5153 390.9668 -0.1206332 0.05277301
Moved 820.2283 257.8815 361.8815 -0.1772891 -0.01405905
Moved 820.2646 243.3797 350.8278 -0.2024657 -0.03945814
Moved 820.3079 226.0959 337.8219 -0.2324725 -0.06934307
Moved 820.3512 213.8943 331.9648 -0.2536557 -0.08280145
Moved 820.3949 207.2897 329.0966 -0.2651221 -0.08939211
Moved 820.4385 196.3811 325.127 -0.2840607 -0.09851323
Moved 820.4838 186.6476 323 -0.300959 -0.1034007
Moved 820.5264 180.8842 322 -0.3109649 -0.1056985
Moved 820.5646 178.0135 321 -0.3159487 -0.1079963
Moved 820.627 174.6803 321 -0.3217356 -0.1079963
Ended 820.6682 175 321 -0.3211806 -0.1079963
Began 820.9094 402 350 0.07291667 -0.0413603
Stationary 820.9565 402 350 0.07291667 -0.0413603
Stationary 821.0157 402 350 0.07291667 -0.0413603
Stationary 821.0555 402 350 0.07291667 -0.0413603
Moved 821.096 388.8765 350 0.05013273 -0.0413603
Moved 821.1368 379.8631 350 0.03448457 -0.0413603
Moved 821.1767 373.0735 350 0.02269708 -0.0413603
Moved 821.2199 362.7223 350 0.004726127 -0.0413603
Moved 821.2645 352.5298 350 -0.01296908 -0.0413603
Moved 821.3057 340.9452 361.0548 -0.03308125 -0.01595862
Moved 821.3483 332.2867 366.8088 -0.04811335 -0.002737046
Moved 821.389 316.6148 384.2314 -0.07532147 0.03729659
Moved 821.4286 297.4119 409.7351 -0.1086599 0.09589873
Moved 821.47 284.1752 431.8846 -0.1316403 0.1467938
Moved 821.5097 270.0288 457.952 -0.1562001 0.2066913
Moved 821.579 258 484.5 -0.1770834 0.2676931
Moved 821.622 243.2608 509.1088 -0.2026722 0.324239
Moved 821.6653 225.0265 531.9647 -0.234329 0.3767572
Moved 821.7051 213.0104 545.9896 -0.2551903 0.4089834
Moved 821.7457 209.1397 550.7206 -0.2619102 0.4198544
Moved 821.785 206 554 -0.2673611 0.4273898
Moved 821.8235 206 555.1932 -0.2673611 0.4301316
Moved 821.8635 206 558.9958 -0.2673611 0.438869
Moved 821.9021 240.0645 562.7419 -0.2082214 0.4474769
Moved 821.9408 288.7047 563 -0.1237765 0.4480699
Moved 822.002 330.1892 550.4527 -0.0517549 0.4192388
Moved 822.0411 337.1823 549 -0.0396141 0.4159008
Moved 822.0787 343.406 547 -0.02880909 0.4113052
Moved 822.1171 345.1332 546 -0.02581045 0.4090073
Moved 822.1543 347 545 -0.02256945 0.4067096
Moved 822.1927 349.0519 543.9481 -0.01900707 0.4042924
Moved 822.2312 350 542.5953 -0.01736112 0.4011841
Ended 822.2691 351.5 541.5 -0.01475696 0.3986674
Began 822.5544 525 484 0.2864583 0.2665442
Stationary 822.6 525 484 0.2864583 0.2665442
Stationary 822.6403 525 484 0.2864583 0.2665442
Stationary 822.6807 525 484 0.2864583 0.2665442
Stationary 822.7202 525 484 0.2864583 0.2665442
Stationary 822.7603 525 484 0.2864583 0.2665442
Moved 822.7998 513.4324 472.7207 0.2663758 0.2406267
Moved 822.8416 498.484 449.312 0.2404236 0.1868383
Moved 822.8847 485.8527 427.7348 0.2184943 0.1372583
Moved 822.924 464.9375 389.8501 0.1821833 0.05020699
Moved 822.9713 450.0742 354.5312 0.1563788 -0.03094856
