my watch fell in the water
Basic
0.4 0.4
288 115.2
Began 1049.746 530 197 0.5902778 -0.3732637
Stationary 1049.797 530 197 0.5902778 -0.3732637
Stationary 1049.84 530 197 0.5902778 -0.3732637
Stationary 1049.883 530 197 0.5902778 -0.3732637
Stationary 1049.927 530 197 0.5902778 -0.3732637
Stationary 1049.97 530 197 0.5902778 -0.3732637
Stationary 1050.012 530 197 0.5902778 -0.3732637
Stationary 1050.054 530 197 0.5902778 -0.3732637
Moved 1050.098 518.7368 205.8428 0.5511693 -0.2965035
Moved 1050.143 508.2486 206.5839 0.514752 -0.2900704
Moved 1050.187 496.0164 210 0.4722792 -0.2604167
Moved 1050.231 481.4605 212 0.4217378 -0.2430553
Moved 1050.274 469.477 214.7046 0.3801285 -0.219578
Moved 1050.318 453.0588 217 0.323121 -0.1996525
Moved 1050.363 440.1448 218 0.2782805 -0.1909722
Moved 1050.406 430.4866 218 0.2447453 -0.1909722
Moved 1050.449 421.541 218 0.213684 -0.1909722
Moved 1050.518 416 220.953 0.1944445 -0.1653385
Moved 1050.565 414 229.761 0.1875 -0.08888033
Moved 1050.609 412 241.7188 0.1805556 0.01491997
Moved 1050.654 407.7604 249.7188 0.1658347 0.08436415
Moved 1050.701 398 260.5 0.1319444 0.1779514
Moved 1050.749 389 268 0.1006945 0.2430556
Moved 1050.797 382.3916 274.6083 0.07774875 0.3004199
Moved 1050.844 380 279.111 0.06944448 0.3395054
Ended 1050.889 377 283.5 0.05902782 0.3776042
Began 1051.327 377 334 0.05902782 0.8159726
Stationary 1051.381 377 334 0.05902782 0.8159726
Stationary 1051.425 377 334 0.05902782 0.8159726
Moved 1051.47 357.6225 334 -0.008255243 0.8159726
Moved 1051.516 340.3121 325.828 -0.06836072 0.7450351
Moved 1051.567 326.665 322 -0.1157464 0.7118059
Moved 1051.615 317.1507 317.5753 -0.1487824 0.6733969
Moved 1051.661 311.5 317 -0.1684028 0.6684031
Moved 1051.707 303.8268 313.2756 -0.1950457 0.6360735
Moved 1051.75 293.9407 310 -0.2293725 0.607639
Moved 1051.794 287.0019 307.0019 -0.2534656 0.5816137
Moved 1051.838 279.4105 302.7053 -0.2798246 0.5443168
Moved 1051.895 268.6444 294.6445 -0.3172068 0.4743444
Moved 1051.938 261.0228 287.0228 -0.3436708 0.408184
