the facts get in the way
Basic
0.4 0.4
288 217.6
Began 1712.154 326 481 -0.1180556 0.5193015
Stationary 1712.232 326 481 -0.1180556 0.5193015
Stationary 1712.294 326 481 -0.1180556 0.5193015
Stationary 1712.352 326 481 -0.1180556 0.5193015
Stationary 1712.409 326 481 -0.1180556 0.5193015
Moved 1712.468 326 468.4633 -0.1180556 0.4616881
Moved 1712.529 341.7962 453.4076 -0.0632076 0.3924982
Moved 1712.589 349.5391 435.3827 -0.03632262 0.3096631
Moved 1712.653 357.8902 417.2196 -0.007325709 0.2261931
Moved 1712.712 364.5 399.5 0.01562506 0.1447611
Moved 1712.769 372.0617 385.8765 0.04188105 0.0821533
Moved 1712.828 378.3735 378.6265 0.06379694 0.048835
Moved 1712.887 387.2141 370.7859 0.09449347 0.01280294
Moved 1712.945 390 368 0.1041667 0
Moved 1713.003 392.0247 365.9753 0.1111968 -0.009304777
Stationary 1713.065 392 366 0.1111111 -0.009191178
Moved 1713.125 367.8581 374.0355 0.02728507 0.0277365
Moved 1713.187 350.7038 380.4321 -0.03227845 0.05713267
Moved 1713.276 324.9361 392.0638 -0.1217496 0.1105875
Moved 1713.337 311.1095 405.3358 -0.1697587 0.1715798
Moved 1713.401 304.1248 411.8752 -0.1940113 0.2016325
Moved 1713.461 299 417.6125 -0.2118056 0.2279987
Moved 1713.523 296 421.0106 -0.2222222 0.2436151
Moved 1713.581 293 424.7397 -0.2326389 0.2607526
Moved 1713.639 289.8885 427 -0.2434425 0.2711398
Moved 1713.698 288.5909 430.4091 -0.2479483 0.2868067
Moved 1713.76 288 435.2579 -0.25 0.3090896
Moved 1713.823 288 438 -0.25 0.3216912
Ended 1713.916 288 439 -0.25 0.3262869
Began 1714.256 326 373 -0.1180556 0.02297794
Stationary 1714.325 326 373 -0.1180556 0.02297794
Stationary 1714.384 326 373 -0.1180556 0.02297794
Stationary 1714.441 326 373 -0.1180556 0.02297794
Moved 1714.499 308.7065 373 -0.1781023 0.02297794
Moved 1714.557 297.8138 373 -0.2159244 0.02297794
Moved 1714.618 280.7 373 -0.2753474 0.02297794
Moved 1714.68 263.339 373 -0.3356286 0.02297794
Moved 1714.74 252.843 373 -0.3720728 0.02297794
Moved 1714.803 241.3618 373 -0.4119381 0.02297794
Moved 1714.864 237 373 -0.4270833 0.02297794
