the five boxing wizards jump quickly
Basic
0.4 0.4
288 115.2
Began 1090.899 338 303 -0.07638887 0.5468751
Stationary 1090.97 338 303 -0.07638887 0.5468751
Stationary 1091.025 338 303 -0.07638887 0.5468751
Stationary 1091.076 338 303 -0.07638887 0.5468751
Stationary 1091.127 338 303 -0.07638887 0.5468751
Stationary 1091.178 338 303 -0.07638887 0.5468751
Stationary 1091.234 338 303 -0.07638887 0.5468751
Stationary 1091.286 338 303 -0.07638887 0.5468751
Stationary 1091.338 338 303 -0.07638887 0.5468751
Moved 1091.391 342.7011 290.3284 -0.06006569 0.436879
Moved 1091.445 349.9685 284.063 -0.03483169 0.3824918
Moved 1091.512 363.4038 272.3975 0.01181886 0.281228
Moved 1091.564 370.6037 266.3963 0.03681839 0.2291346
Moved 1091.617 378.0537 260.9731 0.06268651 0.1820583
Moved 1091.669 384.5 255.5 0.08506939 0.1345486
Moved 1091.723 387 252.2605 0.09375007 0.1064282
Moved 1091.776 389 251 0.1006945 0.09548585
Moved 1091.829 390.5 250 0.1059029 0.08680556
Moved 1091.882 390 250 0.1041667 0.08680556
Stationary 1091.933 390 250 0.1041667 0.08680556
Moved 1091.988 373.3139 250 0.04622877 0.08680556
Moved 1092.073 355.5544 264.7228 -0.01543597 0.2146075
Moved 1092.128 342.838 269.081 -0.05959012 0.2524395
Moved 1092.185 334.6282 271 -0.08809641 0.2690972
Moved 1092.241 324.2151 275 -0.1242533 0.3038195
Moved 1092.296 316.4793 278 -0.1511136 0.3298611
Moved 1092.351 310.3034 279 -0.1725576 0.338542
Moved 1092.408 299.793 282.207 -0.2090521 0.3663805
Moved 1092.465 288.7327 284.6337 -0.2474559 0.3874451
Moved 1092.518 283.0695 285 -0.2671196 0.390625
Moved 1092.572 279.6713 286 -0.2789191 0.3993056
Moved 1092.655 278 286 -0.2847222 0.3993056
Ended 1092.708 278 286 -0.2847222 0.3993056
Began 1093.272 320 264 -0.1388889 0.2083336
Stationary 1093.33 320 264 -0.1388889 0.2083336
Stationary 1093.387 320 264 -0.1388889 0.2083336
Stationary 1093.441 320 264 -0.1388889 0.2083336
Stationary 1093.495 320 264 -0.1388889 0.2083336
Stationary 1093.547 320 264 -0.1388889 0.2083336
Moved 1093.6 330.4087 264 -0.1027477 0.2083336
Moved 1093.655 343.3721 264 -0.05773568 0.2083336
