the five boxing wizards jump quickly
Basic
0.8 0.8
575.9999 230.4
Began 117.2139 341 326 -0.03298611 0.3732638
Stationary 117.2367 341 326 -0.03298611 0.3732638
Stationary 117.2521 341 326 -0.03298611 0.3732638
Stationary 117.2679 341 326 -0.03298611 0.3732638
Stationary 117.28 341 326 -0.03298611 0.3732638
Stationary 117.2953 341 326 -0.03298611 0.3732638
Stationary 117.3095 341 326 -0.03298611 0.3732638
Stationary 117.3266 341 326 -0.03298611 0.3732638
Stationary 117.3415 341 326 -0.03298611 0.3732638
Stationary 117.3587 341 326 -0.03298611 0.3732638
Stationary 117.3737 341 326 -0.03298611 0.3732638
Stationary 117.3907 341 326 -0.03298611 0.3732638
Stationary 117.4033 341 326 -0.03298611 0.3732638
Stationary 117.4201 341 326 -0.03298611 0.3732638
Stationary 117.4885 341 326 -0.03298611 0.3732638
Stationary 117.5064 341 326 -0.03298611 0.3732638
Moved 117.5196 354.3278 311.4606 -0.009847545 0.3101589
Moved 117.5339 358.5494 306.8591 -0.002518445 0.290187
Moved 117.5533 365.8753 298.1497 0.01020014 0.2523856
Moved 117.5672 372.0861 291.9139 0.02098277 0.225321
Moved 117.5877 381.9208 280.6619 0.03805697 0.1764841
Moved 117.6072 390.8022 271.3973 0.0534761 0.1362732
Moved 117.621 401.4522 260.5479 0.07196561 0.08918352
Moved 117.6347 409 253 0.08506946 0.05642362
Moved 117.6478 417.7512 243.2986 0.1002625 0.01431677
Moved 117.6662 423.3364 237.6636 0.1099591 -0.01014074
Moved 117.6814 426.5 233 0.1154514 -0.03038195
Moved 117.6981 428.6475 230.5288 0.1191796 -0.04110774
Moved 117.7172 431.3983 227.6017 0.1239555 -0.05381201
Moved 117.7327 433 223.0466 0.1267361 -0.07358234
Moved 117.7478 433 221.6393 0.1267361 -0.07969062
Stationary 117.7672 433 221.6393 0.1267361 -0.07969062
Moved 117.7817 433 219.869 0.1267361 -0.08737419
Moved 117.7963 424.9846 220 0.1128206 -0.08680556
Moved 117.8098 407.849 220 0.08307122 -0.08680556
Stationary 117.8224 407.849 220 0.08307122 -0.08680556
Moved 117.8353 387.4398 220 0.04763849 -0.08680556
Moved 117.8511 365.3268 237.6095 0.00924796 -0.01037545
Moved 117.8666 341.411 244.9242 -0.03227256 0.02137237
Moved 117.8827 319.0957 254.8331 -0.07101436 0.06438004
Moved 117.9103 285 269.5 -0.1302083 0.1280382
Moved 117.9295 270.8958 273.7014 -0.1546948 0.1462735
Moved 117.9454 259.6045 277.8983 -0.1742978 0.1644894
Moved 117.9614 246.4822 283.0692 -0.1970794 0.1869321
Moved 117.9761 236.5162 287.2073 -0.2143816 0.204893
Moved 117.9916 228.3731 289.8757 -0.228519 0.2164744
Moved 118.0071 220.0621 293.6459 -0.2429477 0.2328384
Moved 118.0219 212.9422 295.2115 -0.2553087 0.2396335
Moved 118.0363 209.1607 297.4196 -0.2618737 0.2492172
Moved 118.0505 204.0433 298 -0.2707581 0.2517361
Moved 118.0643 200.9558 299.0221 -0.2761184 0.2561724
Moved 118.0839 198.1875 300.4063 -0.2809246 0.2621801
Moved 118.0978 195.4153 301 -0.2857374 0.2647568
Moved 118.1118 193.8296 302.1704 -0.2884904 0.2698369
Moved 118.1254 192.5 302 -0.2907986 0.2690972
Moved 118.1406 191.3062 303 -0.2928712 0.2734375
Moved 118.1557 191 303.9833 -0.2934028 0.2777052
Moved 118.1725 191 305.371 -0.2934028 0.2837285
Ended 118.1888 191 306 -0.2934028 0.2864584
Began 118.4077 289 225 -0.1232639 -0.06510417
Stationary 118.4234 289 225 -0.1232639 -0.06510417
Stationary 118.4415 289 225 -0.1232639 -0.06510417
Stationary 118.4585 289 225 -0.1232639 -0.06510417
Stationary 118.4728 289 225 -0.1232639 -0.06510417
Stationary 118.4863 289 225 -0.1232639 -0.06510417
Stationary 118.5011 289 225 -0.1232639 -0.06510417
Stationary 118.5172 289 225 -0.1232639 -0.06510417
Moved 118.529 301.3078 225 -0.1018961 -0.06510417
Moved 118.5466 303.2514 230.2532 -0.09852194 -0.04230393
Moved 118.5673 319 238 -0.07118054 -0.008680556
Moved 118.5813 329.4289 241.8096 -0.05307489 0.007854171
Moved 118.5993 335.8399 243.9467 -0.04194461 0.01712958
Moved 118.613 345.4604 246.703 -0.02524227 0.0290929
Moved 118.6288 355.1171 249.462 -0.008477271 0.041068
Moved 118.6471 367.0276 252.2284 0.01220062 0.05307463
Moved 118.6648 376.4532 254.9866 0.02856456 0.06504589
Moved 118.6814 392.6782 258.6395 0.05673297 0.08090073
Moved 118.6972 406.6718 262.8015 0.08102737 0.09896491
Moved 118.7116 420.5 266.5 0.1050347 0.1150175
Moved 118.7265 436.4459 273.0482 0.1327185 0.1434385
Moved 118.7415 451.6598 279.2639 0.1591316 0.1704163
Moved 118.7632 465.4453 286.2226 0.1830647 0.2006189
Moved 118.7778 474.8022 288.4866 0.1993094 0.2104455
Moved 118.7937 483.2919 291.4306 0.2140485 0.2232231
Moved 118.8072 487.7839 292.5947 0.2218471 0.2282755
Moved 118.8235 491.9431 293.981 0.2290679 0.2342926
Moved 118.8388 494.0835 294 0.2327839 0.234375
Moved 118.8548 495.43 295.43 0.2351216 0.2405816
Moved 118.8714 495.8111 295 0.2357831 0.2387153
Stationary 118.888 496 295 0.2361111 0.2387153
Stationary 118.9025 496 295 0.2361111 0.2387153
Moved 118.9262 481.2 276.1636 0.2104166 0.15696
Moved 118.9405 471.5 267.5 0.1935764 0.1193578
Moved 118.9544 457.9496 252.9496 0.1700513 0.05620493
Moved 118.968 442.1762 238.342 0.142667 -0.007196004
Moved 118.9828 423 223.5 0.109375 -0.07161459
Moved 118.9961 411.7415 214.5393 0.08982889 -0.1105065
Stationary 119.0095 411.7415 214.5393 0.08982889 -0.1105065
Moved 119.0232 397.9141 203.5313 0.06582312 -0.1582844
Moved 119.041 385.0381 193.4304 0.04346885 -0.2021249
Moved 119.0793 353.6374 173.3187 -0.01104616 -0.2894153
Moved 119.1006 344.4114 169.1764 -0.02706349 -0.3073939
Moved 119.1549 320.5661 167 -0.06846168 -0.3168403
Moved 119.1709 316 167 -0.0763889 -0.3168403
Moved 119.1898 313.2098 167 -0.08123298 -0.3168403
Moved 119.2064 309.0695 167 -0.08842092 -0.3168403
Moved 119.2308 296.6289 188.5195 -0.1100193 -0.2234396
Moved 119.2453 288.2104 198.2545 -0.1246347 -0.181187
Moved 119.2646 277.1628 214.4012 -0.1438147 -0.1111057
Moved 119.2896 260.7272 237.8182 -0.1723486 -0.009469457
Moved 119.3041 250.8546 251.4036 -0.1894885 0.04949464
Moved 119.3257 241.8165 263.2359 -0.2051797 0.1008503
Moved 119.3394 232.1371 277.0898 -0.2219842 0.1609802
Moved 119.3524 225.2436 285.5492 -0.2339521 0.1976962
Moved 119.3659 218.1228 295.228 -0.2463146 0.2397051
Stationary 119.379 218.1228 295.228 -0.2463146 0.2397051
Moved 119.3916 211.5 304.5 -0.2578125 0.2799481
Moved 119.408 207.8312 307.8917 -0.2641819 0.2946691
Moved 119.4231 203.941 313.0786 -0.2709357 0.3171815
