the facts get in the way
Basic
0.4 0.4
288 217.6
Began 501.0562 348 403 -0.04166671 0.1608456
Stationary 501.0998 348 403 -0.04166671 0.1608456
Stationary 501.1367 348 403 -0.04166671 0.1608456
Stationary 501.1777 348 403 -0.04166671 0.1608456
Stationary 501.2141 348 403 -0.04166671 0.1608456
Stationary 501.2499 348 403 -0.04166671 0.1608456
Moved 501.2883 348 387.4946 -0.04166671 0.08958922
Moved 501.3276 361.2984 377.7016 0.004508346 0.04458456
Moved 501.3683 366 372 0.02083331 0.0183825
Moved 501.4051 372.035 361.965 0.04178837 -0.02773468
Moved 501.4427 376.7742 355.2258 0.05824387 -0.05870511
Moved 501.481 382.3864 345.6136 0.07773072 -0.1028786
Moved 501.5203 386.4483 340.5517 0.09183452 -0.1261411
Moved 501.5596 390.5 335.5 0.1059029 -0.1493566
Moved 501.5975 392.2025 332.7975 0.1118141 -0.1617763
Moved 501.6362 394.5 330.5 0.1197916 -0.1723346
Moved 501.6746 395 330 0.1215278 -0.1746322
Moved 501.7123 396 327.5 0.125 -0.1861213
Moved 501.7704 396 328 0.125 -0.1838235
Stationary 501.8061 396 328 0.125 -0.1838235
Stationary 501.8412 396 328 0.125 -0.1838235
Stationary 501.8789 396 328 0.125 -0.1838235
Stationary 501.9135 396 328 0.125 -0.1838235
Moved 501.9486 384.9111 336.2371 0.08649693 -0.1459693
Moved 501.989 368.6312 350.0266 0.02996951 -0.08259858
Moved 502.0265 358.162 358.6285 -0.006381795 -0.04306766
Moved 502.0662 340.9155 373.9037 -0.06626577 0.02713119
Moved 502.1041 332.8563 382.0958 -0.09424888 0.06477834
Moved 502.1638 321 394 -0.1354167 0.1194854
Moved 502.2012 316.4256 399.5744 -0.1512999 0.145103
Moved 502.2374 311.4059 405.1882 -0.1687296 0.1709017
Moved 502.2751 308.5381 408.4619 -0.1786872 0.1859463
Moved 502.3142 305.5633 412.4366 -0.1890162 0.2042125
Moved 502.3532 305 415.3026 -0.1909722 0.2173831
Moved 502.3925 302.8277 417.1723 -0.1985151 0.2259758
Moved 502.4296 301.9387 419.0613 -0.2016018 0.2346566
Moved 502.468 301 422.4332 -0.2048611 0.2501529
Moved 502.5063 300.0041 423 -0.2083193 0.2527574
Moved 502.5718 299 426.5 -0.2118056 0.268842
